function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
355;libc.so.6;psiginfo;;38.58825302124;4.5650005340576;0;0;0;0;0;38.58825302124;4.5650005340576;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";psiginfo;;
281;libc.so.6;strtof64x;;36.010066986084;4.2600002288818;0;0;0;0;0;36.010066986084;4.2600002288818;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";strtof64x;;
303;libc.so.6;swapcontext;;7.6922926902771;0.91000020503998;0;0;0;0;0;7.6922926902771;0.91000020503998;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";swapcontext;;
312;libc.so.6;vprintf;;7.6922912597656;0.91000014543533;0;0;0;0;0;7.6922912597656;0.91000014543533;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";vprintf;;
2239;libc.so.6;__nss_database_lookup;;4.6069207191467;0.54499995708466;0;0;0;0;0;4.6069207191467;0.54499995708466;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";__nss_database_lookup;;
528;libc.so.6;_IO_sputbackc;;1.4792863130569;0.17499996721745;0;0;0;0;0;1.4792863130569;0.17499996721745;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_sputbackc;;
1;opt3.o;main;stdlib.h:364-364,opt3.c:145-148,opt3.c:162-165,opt3.c:179-180,opt3.c:189-190,opt3.c:196-231,opt3.c:238-240,opt3.c:249-252,stdio2.h:105-105,stdio2.h:112-112;0.67624515295029;0.079999983310699;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";main;;
10;opt3.o;load_positions;opt3.c:118-137,stdio2.h:105-105;0.54944920539856;0.064999990165234;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";load_positions;;
240;libc.so.6;random;;0.5071839094162;0.059999994933605;0;0;0;0;0;0.5071839094162;0.059999994933605;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";random;;
571;libc.so.6;__nptl_death_event;;0.46491855382919;0.054999988526106;0;0;0;0;0;0.46491855382919;0.054999988526106;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0";__nptl_death_event;;
351;libc.so.6;__isoc99_fscanf;;0.42265325784683;0.049999993294477;0;0;0;0;0;0.42265325784683;0.049999993294477;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";__isoc99_fscanf;;
500;libc.so.6;_IO_file_xsputn;;0.25359192490578;0.029999991878867;0;0;0;0;0;0.25359192490578;0.029999991878867;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_file_xsputn;;
276;libc.so.6;__strtof_internal;;0.21132662892342;0.024999996647239;0;0;0;0;0;0.21132662892342;0.024999996647239;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";__strtof_internal;;
244;libc.so.6;random_r;;0.16906130313873;0.019999995827675;0;0;0;0;0;0.16906130313873;0.019999995827675;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";random_r;;
9;opt3.o;load_values;opt3.c:74-114,stdio2.h:105-105,stdio2.h:112-112;0.16906130313873;0.019999995827675;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";load_values;;
1671;libc.so.6;__fprintf_chk;;0.12679597735405;0.014999998733401;0;0;0;0;0;0.12679597735405;0.014999998733401;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";__fprintf_chk;;
520;libc.so.6;_IO_default_uflow;;0.084530651569366;0.0099999979138374;0;0;0;0;0;0.084530651569366;0.0099999979138374;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_default_uflow;;
8;opt3.o;generate_random_values;opt3.c:42-63,opt3.c:69-72,stdio2.h:105-105,stdio2.h:112-112;0.084530651569366;0.0099999979138374;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";generate_random_values;;
517;libc.so.6;__uflow;;0.042265325784683;0.0049999989569187;0;0;0;0;0;0.042265325784683;0.0049999989569187;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";__uflow;;
509;libc.so.6;_IO_file_underflow;;0.042265325784683;0.0049999989569187;0;0;0;0;0;0.042265325784683;0.0049999989569187;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_file_underflow;;
313;libc.so.6;__printf_fp;;0.042265325784683;0.0049999989569187;0;0;0;0;0;0.042265325784683;0.0049999989569187;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";__printf_fp;;
56;libc.so.6;.plt.sec@start;;0.042265325784683;0.0049999989569187;0;0;0;0;0;0.042265325784683;0.0049999989569187;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";.plt.sec@start;;
-1;opt3.o;unknown_function;;0.042265325784683;0.0049999989569187;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";Unknown function;;
